popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence
alta,no,bajo,medio,7,medio,mayor,bajo,bajo,bajo,medio,bajo
baja,no,bajo,alto,7,alto,mayor,alto,bajo,alto,alto,bajo
baja,no,bajo,medio,9,bajo,menor,alto,alto,alto,medio,bajo
baja,no,alto,bajo,6,medio,mayor,bajo,medio,alto,medio,medio
alta,no,medio,alto,9,alto,menor,medio,alto,bajo,alto,alto
media,no,alto,medio,8,alto,menor,medio,bajo,alto,alto,medio
baja,no,medio,alto,6,medio,menor,alto,alto,bajo,alto,medio
alta,no,bajo,alto,11,alto,menor,alto,bajo,alto,alto,bajo
media,no,alto,medio,5,medio,mayor,bajo,medio,alto,bajo,alto
alta,no,bajo,alto,8,alto,mayor,medio,bajo,alto,alto,alto
baja,no,bajo,bajo,5,bajo,mayor,medio,alto,bajo,alto,medio
baja,no,alto,medio,11,bajo,menor,bajo,medio,alto,bajo,alto
media,no,bajo,bajo,2,bajo,menor,medio,alto,bajo,alto,medio
alta,no,medio,medio,11,alto,mayor,alto,alto,bajo,alto,alto
alta,no,medio,bajo,11,medio,mayor,bajo,alto,bajo,medio,medio
media,no,medio,bajo,9,bajo,mayor,alto,alto,bajo,bajo,bajo
media,no,medio,medio,5,medio,mayor,bajo,alto,alto,alto,alto
baja,no,medio,alto,7,alto,menor,alto,bajo,bajo,medio,bajo
alta,si,medio,medio,3,alto,menor,alto,bajo,bajo,alto,bajo
baja,no,alto,medio,1,alto,menor,alto,medio,bajo,medio,medio
alta,no,medio,medio,11,alto,mayor,bajo,bajo,bajo,medio,medio
baja,no,alto,bajo,1,bajo,menor,alto,medio,alto,medio,medio
baja,no,medio,alto,1,alto,mayor,medio,bajo,alto,alto,medio
baja,no,alto,bajo,1,bajo,mayor,alto,medio,bajo,alto,alto
baja,no,alto,alto,1,medio,mayor,medio,bajo,alto,medio,alto
baja,no,alto,medio,1,bajo,mayor,alto,alto,alto,medio,medio
media,no,medio,medio,0,alto,mayor,bajo,alto,bajo,bajo,alto
baja,no,medio,alto,2,alto,menor,alto,medio,bajo,alto,alto
baja,no,medio,bajo,1,bajo,mayor,medio,alto,bajo,bajo,bajo
baja,no,bajo,alto,9,alto,mayor,alto,bajo,alto,alto,bajo
alta,no,bajo,bajo,7,bajo,mayor,medio,alto,alto,bajo,bajo
alta,no,alto,medio,2,medio,mayor,bajo,bajo,bajo,bajo,bajo
media,no,bajo,medio,2,medio,mayor,bajo,bajo,alto,bajo,bajo
alta,no,alto,medio,3,bajo,menor,bajo,bajo,alto,medio,bajo
alta,no,medio,medio,7,alto,menor,alto,alto,bajo,medio,medio
media,si,medio,medio,10,medio,mayor,alto,bajo,bajo,medio,medio
alta,no,bajo,alto,5,alto,menor,alto,medio,alto,bajo,bajo
baja,no,alto,medio,8,alto,menor,alto,medio,bajo,medio,medio
baja,no,alto,bajo,0,bajo,mayor,alto,medio,alto,bajo,medio
media,no,bajo,bajo,0,bajo,mayor,bajo,alto,bajo,medio,medio
media,no,bajo,medio,9,bajo,mayor,alto,alto,bajo,alto,medio
media,no,medio,alto,9,medio,menor,medio,bajo,alto,bajo,medio
alta,no,alto,alto,11,medio,menor,medio,medio,alto,alto,alto
baja,no,medio,bajo,9,bajo,menor,alto,alto,alto,medio,medio
alta,no,alto,bajo,4,medio,menor,alto,medio,bajo,bajo,alto
alta,no,alto,bajo,2,medio,mayor,bajo,alto,bajo,bajo,medio
alta,si,alto,medio,0,medio,mayor,medio,medio,bajo,medio,alto
