popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence
50,False,0.369,0.598,7,-6.984,1,0.0304,0.00511,0.0,0.176,0.0466
11,False,0.171,0.997,7,-3.586,1,0.118,0.00521,0.801,0.42,0.0294
0,False,0.173,0.803,9,-10.071,0,0.144,0.613,0.00191,0.195,0.0887
0,False,0.683,0.511,6,-5.598,1,0.0279,0.406,0.000197,0.111,0.598
57,False,0.555,0.941,9,-3.294,0,0.0481,0.484,0.0,0.266,0.813
38,False,0.776,0.8,8,-4.704,0,0.0438,0.00631,0.0731,0.35,0.583
21,False,0.627,0.815,6,-6.959,0,0.911,0.785,0.0,0.744,0.532
54,False,0.395,0.933,11,-3.6,0,0.116,8.74e-06,0.0125,0.328,0.194
29,False,0.914,0.766,5,-5.662,1,0.0387,0.192,0.65,0.0747,0.9
48,False,0.345,0.976,8,-4.74,1,0.0487,0.000587,0.0507,0.487,0.818
0,False,0.469,0.183,5,-15.414,1,0.0407,0.829,0.0,0.71,0.381
0,False,0.772,0.675,11,-9.154,0,0.0366,0.124,0.0121,0.102,0.68
28,False,0.423,0.401,2,-11.219,0,0.0449,0.726,0.0,0.269,0.507
50,False,0.511,0.751,11,-4.731,1,0.0924,0.844,0.0,0.962,0.732
60,False,0.633,0.299,11,-7.798,1,0.0353,0.833,0.0,0.109,0.341
41,False,0.524,0.0856,9,-17.766,1,0.0999,0.739,0.0,0.0919,0.316
39,False,0.59,0.697,5,-8.046,1,0.0323,0.75,0.000163,0.621,0.815
22,False,0.553,0.928,7,-3.544,0,0.13,0.0251,0.0,0.171,0.305
77,True,0.504,0.788,3,-4.113,0,0.215,0.0134,0.0,0.363,0.228
0,False,0.786,0.696,1,-5.343,0,0.352,0.183,0.0,0.123,0.591
61,False,0.645,0.688,11,-4.749,1,0.0341,0.0107,0.0,0.186,0.433
3,False,0.854,0.446,1,-8.957,0,0.198,0.313,0.215,0.156,0.57
17,False,0.643,0.956,1,-3.385,1,0.051,0.000458,0.78,0.228,0.515
13,False,0.738,0.499,1,-14.344,1,0.546,0.21,0.0,0.569,0.806
7,False,0.813,0.863,1,-8.587,1,0.0563,0.00024,0.89,0.109,0.717
19,False,0.911,0.616,1,-12.46,1,0.272,0.569,0.00795,0.154,0.467
33,False,0.643,0.574,0,-5.427,1,0.035,0.583,0.0,0.0492,0.845
3,False,0.652,0.806,2,-3.875,0,0.0797,0.133,0.0,0.281,0.88
22,False,0.521,0.189,1,-10.74,1,0.0478,0.892,0.0,0.0824,0.301
0,False,0.416,0.964,9,-2.967,1,0.112,2.35e-05,0.000875,0.473,0.212
46,False,0.435,0.101,7,-18.753,1,0.0487,0.992,0.926,0.101,0.222
74,False,0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66e-06,0.0939,0.219
45,False,0.479,0.762,2,-7.86,1,0.0378,0.00711,0.011,0.0965,0.0519
50,False,0.757,0.678,3,-11.225,0,0.0323,0.0399,0.849,0.129,0.13
48,False,0.553,0.732,7,-5.206,0,0.262,0.622,0.0,0.163,0.436
39,True,0.628,0.787,10,-6.809,1,0.139,0.0059,0.0,0.124,0.377
55,False,0.472,0.933,5,-4.985,0,0.195,0.0632,0.367,0.0678,0.326
